Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
SR Tendulkar (IND),1992-2011,45,44,4,2278,152,56.95,2560,88.98,6,15,2,241,27
RT Ponting (AUS),1996-2011,46,42,4,1743,140*,45.86,2180,79.95,5,6,1,145,31
KC Sangakkara (SL),2003-2015,37,35,8,1532,124,56.74,1770,86.55,5,7,1,147,14
DA Warner (AUS),2015-2023,24,24,2,1405,178,63.86,1378,101.95,6,4,-0,142,36
V Kohli (IND),2011-2023,31,31,6,1384,107,55.36,1579,87.65,3,9,-0,120,11
RG Sharma (IND),2015-2023,22,22,2,1289,140,64.45,1252,102.95,7,4,2,133,40
BC Lara (WI),1992-2007,34,33,4,1225,116,42.24,1420,86.26,2,7,1,131,17
AB de Villiers (SA),2007-2015,23,22,3,1207,162*,63.52,1029,117.29,4,6,4,121,37
Shakib Al Hasan (BAN),2007-2023,34,34,4,1207,124*,40.23,1490,81,2,10,1,112,10
CH Gayle (WI),2003-2019,35,34,1,1186,215,35.93,1310,90.53,2,6,2,116,49
ST Jayasuriya (SL),1992-2007,38,37,3,1165,120,34.26,1285,90.66,3,6,-0,120,27
JH Kallis (SA),1996-2011,36,32,7,1148,128*,45.92,1543,74.4,1,9,2,86,13
TM Dilshan (SL),2007-2015,27,25,4,1112,161*,52.95,1196,92.97,4,4,2,122,9
DPMD Jayawardene (SL),1999-2015,40,34,3,1100,115*,35.48,1280,85.93,4,5,3,99,12
AC Gilchrist (AUS),1999-2007,31,31,1,1085,149,36.16,1107,98.01,1,8,1,141,19
Javed Miandad (PAK),1975-1996,33,30,5,1083,103,43.32,1592,68.02,1,8,2,72,3
SP Fleming (NZ),1996-2007,33,33,3,1075,134*,35.83,1398,76.89,2,5,2,134,11
HH Gibbs (SA),1999-2007,25,23,4,1067,143,56.15,1221,87.38,2,8,1,106,28
PA de Silva (SL),1987-2003,35,32,3,1064,145,36.68,1229,86.57,2,6,2,107,15
Mushfiqur Rahim (BAN),2007-2023,35,34,6,1043,102*,37.25,1314,79.37,1,8,2,83,13
IVA Richards (WI),1975-1987,23,21,5,1013,181,63.31,1191,85.05,3,5,-0,84+,22+
SC Ganguly (IND),1999-2007,21,21,3,1006,183,55.88,1298,77.5,4,3,1,79,25
ME Waugh (AUS),1992-1999,22,22,3,1004,130,52.84,1199,83.73,4,4,2,87,9
LRPL Taylor (NZ),2007-2019,33,30,3,1002,131*,37.11,1354,74,1,6,2,76,17
SPD Smith (AUS),2011-2023,30,26,2,995,105,41.45,1117,89.07,1,9,1,94,8
MJ Guptill (NZ),2011-2019,27,27,4,995,237*,43.26,1126,88.36,2,4,2,108,24
KS Williamson (NZ),2011-2023,24,23,7,989,148,61.81,1270,77.87,2,4,-0,94,7
ML Hayden (AUS),2003-2007,22,21,2,987,158,51.94,1062,92.93,3,2,-0,106,23
SR Waugh (AUS),1987-1999,33,30,10,978,120*,48.9,1207,81.02,1,6,-0,73,13
S Chanderpaul (WI),1996-2011,31,28,4,970,102*,40.41,1561,62.13,1,7,-0,82,13
A Ranatunga (SL),1983-1999,30,29,8,969,88*,46.14,1197,80.95,-0,7,3,99,7
JE Root (ENG),2015-2023,22,21,2,933,121,49.1,1048,89.02,3,5,-0,81,6
F du Plessis (SA),2011-2019,23,21,5,926,109,57.87,1070,86.54,2,7,-0,74,11
Saeed Anwar (PAK),1996-2003,21,21,4,915,113*,53.82,1157,79.08,3,3,-0,90,6
SB Styris (NZ),2003-2011,26,22,5,909,141,53.47,1026,88.59,2,6,1,69,17
GA Gooch (ENG),1979-1992,21,21,1,897,115,44.85,1418,63.25,1,8,1,80,4
MJ Clarke (AUS),2007-2015,25,21,7,888,93*,63.42,943,94.16,-0,8,-0,85,11
Q de Kock (SA),2015-2023,23,23,2,881,174,41.95,894,98.54,3,4,1,99,19
MD Crowe (NZ),1983-1992,21,21,5,880,100*,55,1053,83.57,1,8,1,82,7
R Dravid (IND),1999-2007,22,21,7,860,145,61.42,1147,74.97,2,6,-0,76,3
DL Haynes (WI),1979-1992,25,25,2,854,105,37.13,1485,57.5,1,3,-0,67+,4+
V Sehwag (IND),2003-2011,22,22,0,843,175,38.31,794,106.17,2,3,1,108,18
HM Amla (SA),2011-2019,22,22,2,842,159,42.1,1012,83.2,2,5,-0,76,6
